,dt,temp,feels_like,pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_deg,pop,rain
0,1598281200,29.0,30.5,1002,66,22.0,75,10000,4.56,155,0.76,{'1h': 0.91}
1,1598284800,28.67,30.86,1002,73,23.35,87,10000,4.64,145,0.78,
2,1598288400,28.02,31.1,1003,79,24.04,95,10000,3.94,136,0.79,
3,1598292000,27.49,30.41,1002,82,24.14,98,10000,4.25,132,0.8,
4,1598295600,27.07,30.03,1002,83,23.93,100,10000,4.02,127,0.0,
5,1598299200,26.82,29.77,1002,84,23.98,100,10000,4.0,119,0.0,
6,1598302800,26.51,29.37,1002,85,23.86,99,10000,4.04,111,0.0,
7,1598306400,26.35,29.39,1001,85,23.72,100,10000,3.65,110,0.0,
8,1598310000,26.23,29.41,1001,85,23.56,98,10000,3.35,108,0.0,
9,1598313600,26.18,29.32,1001,85,23.55,89,10000,3.37,94,0.0,
10,1598317200,27.39,29.97,1002,80,23.65,95,10000,4.31,89,0.0,
11,1598320800,28.89,30.79,1003,73,23.74,98,10000,5.22,95,0.0,
12,1598324400,30.19,31.54,1003,69,23.89,90,10000,6.26,95,0.0,
13,1598328000,30.8,31.85,1003,68,24.23,90,10000,6.98,111,0.0,
14,1598331600,31.02,31.73,1002,67,24.3,92,10000,7.43,118,0.0,
15,1598335200,31.58,32.52,1002,65,24.22,89,10000,7.12,126,0.02,
16,1598338800,32.93,33.5,1001,61,24.62,73,10000,7.83,119,0.35,
17,1598342400,32.43,32.54,1000,64,24.99,80,10000,8.77,123,0.61,{'1h': 0.27}
18,1598346000,31.49,32.4,1000,67,24.76,86,10000,7.53,121,0.8,
19,1598349600,31.13,31.97,999,69,24.81,86,10000,7.75,132,0.84,
20,1598353200,29.63,31.08,999,74,24.64,89,10000,6.65,132,0.81,{'1h': 0.15}
21,1598356800,28.87,30.38,1000,77,24.45,91,10000,6.51,129,0.79,{'1h': 0.13}
22,1598360400,28.2,29.63,1001,78,24.03,100,10000,6.26,115,0.08,
23,1598364000,27.86,28.88,1002,80,24.12,99,10000,6.92,111,0.07,
24,1598367600,27.74,28.49,1003,81,24.34,99,10000,7.39,115,0.05,
25,1598371200,27.49,28.16,1003,82,24.3,100,10000,7.47,116,0.04,
26,1598374800,27.38,28.22,1003,83,24.4,100,10000,7.31,121,0.03,
27,1598378400,27.38,28.55,1003,84,24.46,100,10000,7.0,122,0.07,
28,1598382000,27.07,28.16,1003,84,24.18,100,10000,6.86,117,0.08,
29,1598385600,26.88,28.12,1002,85,24.16,100,10000,6.65,125,0.07,
30,1598389200,27.09,28.47,1002,84,24.27,100,10000,6.46,133,0.05,
31,1598392800,26.77,28.41,1002,85,24.19,100,10000,6.0,124,0.0,
32,1598396400,26.78,28.52,1003,86,24.29,100,10000,6.02,120,0.02,
33,1598400000,26.77,28.37,1003,86,24.26,100,10000,6.22,113,0.15,
34,1598403600,26.78,28.04,1003,85,24.21,100,10000,6.54,112,0.25,
35,1598407200,27.39,28.73,1004,83,24.39,100,10000,6.6,120,0.19,
36,1598410800,28.87,30.07,1005,78,24.77,99,10000,7.14,125,0.32,
37,1598414400,30.31,31.31,1005,72,24.87,98,10000,7.47,128,0.46,{'1h': 0.21}
38,1598418000,31.73,32.68,1004,67,24.88,99,10000,7.67,135,0.41,{'1h': 0.15}
39,1598421600,32.25,33.03,1003,65,24.93,99,10000,7.89,140,0.48,
40,1598425200,32.04,32.72,1002,65,24.67,100,10000,7.87,143,0.77,{'1h': 0.19}
41,1598428800,32.78,33.34,1001,61,24.52,96,10000,7.72,143,0.73,{'1h': 0.11}
42,1598432400,32.6,33.34,1001,63,24.67,84,10000,7.79,145,0.9,{'1h': 0.19}
43,1598436000,32.07,33.06,1000,65,24.75,79,10000,7.45,149,0.87,{'1h': 0.11}
44,1598439600,31.2,32.52,1000,68,24.71,79,10000,6.91,151,0.88,
45,1598443200,29.81,31.8,1000,74,24.71,83,10000,6.03,150,0.86,
46,1598446800,28.91,30.56,1001,76,24.45,100,10000,6.16,147,0.53,
47,1598450400,28.38,29.98,1002,78,24.38,100,10000,6.17,146,0.38,
